Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"March 24, 2025 - March 30, 2025"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,3/26/2025,4185199,,,2.00,,$4.98
,Cash Sale,3/26/2025,4185196,,,2.00,,$3.98
,Cash Sale,3/26/2025,4185195,,,7.00,,$13.93
,Cash Sale,3/26/2025,4185191,,,5.00,,$9.95
,Cash Sale,3/26/2025,4185181,,,1.00,,$2.49
,Cash Sale,3/26/2025,4185197,,,4.00,,$9.96
,Cash Sale,3/26/2025,4185193,,,2.00,,$4.98
,Cash Sale,3/26/2025,4185186,,,6.00,,$11.94
,Cash Sale,3/26/2025,4185182,,,2.00,,$4.98
,Cash Sale,3/26/2025,4185200,,,2.00,,$3.98
,Cash Sale,3/27/2025,4186059,,,3.00,,$7.47
,Cash Sale,3/27/2025,4186053,,,4.00,,$7.96
,Cash Sale,3/27/2025,4186047,,,1.00,,$2.49
,Cash Sale,3/27/2025,4186049,,,3.00,,$5.97
,Cash Sale,3/27/2025,4186066,,,4.00,,$7.96
,Cash Sale,3/27/2025,4186065,,,2.00,,$4.98
,Cash Sale,3/27/2025,4186063,,,1.00,,$2.49
,Cash Sale,3/27/2025,4186056,,,3.00,,$7.47
,Cash Sale,3/27/2025,4186061,,,10.00,,$19.90
,Cash Sale,3/28/2025,4186963,,,6.00,,$14.94
,Cash Sale,3/28/2025,4186968,,,5.00,,$9.95
,Cash Sale,3/28/2025,4186967,,,1.00,,$2.49
,Cash Sale,3/28/2025,4186956,,,2.00,,$4.98
,Cash Sale,3/28/2025,4186954,,,11.00,,$21.89
,Cash Sale,3/28/2025,4186961,,,6.00,,$11.94
,Cash Sale,3/28/2025,4186972,,,4.00,,$7.96
,Cash Sale,3/28/2025,4186970,,,2.00,,$4.98
,Cash Sale,3/29/2025,4187893,,,28.00,,$55.72
,Cash Sale,3/29/2025,4187895,,,20.00,,$39.80
,Cash Sale,3/29/2025,4187897,,,13.00,,$25.87
,Cash Sale,3/29/2025,4187894,,,40.00,,$79.60
,Cash Sale,3/30/2025,4188768,,,8.00,,$15.92
,Cash Sale,3/30/2025,4188775,,,3.00,,$5.97
,Cash Sale,3/30/2025,4188762,,,8.00,,$15.92
,Cash Sale,3/30/2025,4188761,,,8.00,,$19.92
,Cash Sale,3/30/2025,4188774,,,13.00,,$25.87
,Cash Sale,3/30/2025,4188779,,,3.00,,$5.97
,Cash Sale,3/30/2025,4188778,,,1.00,,$2.49
,Cash Sale,3/30/2025,4188772,,,1.00,,$2.49
,Cash Sale,3/30/2025,4188764,,,6.00,,$14.94
Total - $Egg (KR),,,,,,,,$651.89
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,3/27/2025,4186061,,,1.00,,$5.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$5.99
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,3/25/2025,4184337,,,1.00,,$2.99
,Cash Sale,3/26/2025,4185181,,,1.00,,$2.99
,Cash Sale,3/27/2025,4186049,,,2.00,,$5.98
,Cash Sale,3/27/2025,4186060,,,1.00,,$2.99
,Cash Sale,3/27/2025,4186045,,,1.00,,$2.99
,Cash Sale,3/28/2025,4186972,,,1.00,,$2.99
,Cash Sale,3/28/2025,4186968,,,1.00,,$2.99
,Cash Sale,3/29/2025,4187894,,,2.00,,$5.98
,Cash Sale,3/30/2025,4188768,,,1.00,,$2.99
Total - $Fried Bean Curb (KR),,,,,,,,$32.89
$Garlic Oil (KR),,,,,,,,
,Cash Sale,3/25/2025,4184342,,,1.00,,$1.99
,Cash Sale,3/25/2025,4184328,,,1.00,,$1.99
,Cash Sale,3/29/2025,4187894,,,2.00,,$3.98
Total - $Garlic Oil (KR),,,,,,,,$7.96
$Grated Garlic (KR),,,,,,,,
,Cash Sale,3/24/2025,4183501,,,2.00,,$4.98
,Cash Sale,3/24/2025,4183509,,,2.00,,$3.98
,Cash Sale,3/25/2025,4184336,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185186,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185181,,,1.00,,$2.49
,Cash Sale,3/27/2025,4186065,,,1.00,,$2.49
,Cash Sale,3/27/2025,4186053,,,3.00,,$5.97
,Cash Sale,3/28/2025,4186961,,,1.00,,$1.99
,Cash Sale,3/29/2025,4187893,,,1.00,,$1.99
,Cash Sale,3/29/2025,4187897,,,1.00,,$1.99
,Cash Sale,3/30/2025,4188773,,,1.00,,$2.49
,Cash Sale,3/30/2025,4188762,,,1.00,,$1.99
Total - $Grated Garlic (KR),,,,,,,,$34.34
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,3/24/2025,4183495,,,1.00,,$2.99
,Cash Sale,3/24/2025,4183505,,,1.00,,$2.99
,Cash Sale,3/24/2025,4183496,,,1.00,,$1.99
,Cash Sale,3/25/2025,4184332,,,1.00,,$1.99
,Cash Sale,3/25/2025,4184336,,,2.00,,$3.98
,Cash Sale,3/25/2025,4184331,,,1.00,,$2.99
,Cash Sale,3/26/2025,4185186,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185191,,,2.00,,$3.98
,Cash Sale,3/26/2025,4185197,,,1.00,,$2.99
,Cash Sale,3/27/2025,4186059,,,1.00,,$2.99
,Cash Sale,3/27/2025,4186046,,,1.00,,$2.99
,Cash Sale,3/27/2025,4186066,,,3.00,,$5.97
,Cash Sale,3/28/2025,4186964,,,1.00,,$2.99
,Cash Sale,3/28/2025,4186954,,,4.00,,$7.96
,Cash Sale,3/28/2025,4186961,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186959,,,1.00,,$2.99
,Cash Sale,3/28/2025,4186972,,,2.00,,$3.98
,Cash Sale,3/29/2025,4187893,,,5.00,,$9.95
,Cash Sale,3/29/2025,4187895,,,3.00,,$5.97
,Cash Sale,3/29/2025,4187897,,,6.00,,$11.94
,Cash Sale,3/29/2025,4187894,,,5.00,,$9.95
