Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"July 20, 2026 - July 26, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,7/21/2026,4488025,,,1.00,,$1.99
,Cash Sale,7/21/2026,4488022,,,2.00,,$3.98
,Cash Sale,7/22/2026,4488430,,,1.00,,$2.49
,Cash Sale,7/22/2026,4488437,,,1.00,,$2.49
,Cash Sale,7/25/2026,4489688,,,1.00,,$1.99
,Cash Sale,7/26/2026,4490101,,,1.00,,$2.49
,Cash Sale,7/26/2026,4490097,,,2.00,,$4.98
Total - $Bamboo Shoots (KR),,,,,,,,$20.41
$Beansprouts (KR),,,,,,,,
,Cash Sale,7/20/2026,4487605,,,2.00,,$3.98
,Cash Sale,7/21/2026,4488022,,,5.00,,$9.95
,Cash Sale,7/22/2026,4488431,,,2.00,,$3.98
,Cash Sale,7/23/2026,4488839,,,2.00,,$3.98
,Cash Sale,7/25/2026,4489688,,,1.00,,$1.99
,Cash Sale,7/26/2026,4490101,,,1.00,,$2.49
,Cash Sale,7/26/2026,4490097,,,1.00,,$2.49
,Cash Sale,7/26/2026,4490095,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$32.84
$Beef (KR),,,,,,,,
,Cash Sale,7/22/2026,4488431,,,1.00,,$5.99
,Cash Sale,7/23/2026,4488838,,,2.00,,$11.98
,Cash Sale,7/25/2026,4489690,,,1.00,,$5.99
,Cash Sale,7/25/2026,4489688,,,2.00,,$11.98
Total - $Beef (KR),,,,,,,,$35.94
$Chicken Breast (KR),,,,,,,,
,Cash Sale,7/20/2026,4487606,,,2.00,,$7.98
,Cash Sale,7/22/2026,4488431,,,3.00,,$11.97
,Cash Sale,7/23/2026,4488837,,,1.00,,$3.99
,Cash Sale,7/23/2026,4488836,,,1.00,,$3.99
,Cash Sale,7/24/2026,4489263,,,1.00,,$3.99
,Cash Sale,7/25/2026,4489688,,,2.00,,$7.98
,Cash Sale,7/26/2026,4490095,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$47.88
$Corn (KR),,,,,,,,
,Cash Sale,7/20/2026,4487605,,,2.00,,$3.98
,Cash Sale,7/21/2026,4488022,,,2.00,,$3.98
,Cash Sale,7/22/2026,4488431,,,3.00,,$5.97
,Cash Sale,7/23/2026,4488839,,,1.00,,$1.99
,Cash Sale,7/23/2026,4488838,,,1.00,,$2.49
,Cash Sale,7/23/2026,4488836,,,6.00,,$11.94
,Cash Sale,7/24/2026,4489267,,,1.00,,$1.99
,Cash Sale,7/24/2026,4489263,,,3.00,,$5.97
,Cash Sale,7/24/2026,4489265,,,1.00,,$2.49
,Cash Sale,7/25/2026,4489690,,,1.00,,$2.49
,Cash Sale,7/25/2026,4489688,,,5.00,,$9.95
,Cash Sale,7/26/2026,4490095,,,3.00,,$5.97
,Cash Sale,7/26/2026,4490097,,,1.00,,$2.49
,Cash Sale,7/26/2026,4490096,,,2.00,,$3.98
Total - $Corn (KR),,,,,,,,$65.68
$Egg (KR),,,,,,,,
,Cash Sale,7/20/2026,4487605,,,32.00,,$63.68
,Cash Sale,7/20/2026,4487608,,,1.00,,$2.49
,Cash Sale,7/20/2026,4487607,,,2.00,,$3.98
,Cash Sale,7/20/2026,4487611,,,2.00,,$4.98
,Cash Sale,7/20/2026,4487606,,,9.00,,$22.41
,Cash Sale,7/21/2026,4488028,,,4.00,,$9.96
,Cash Sale,7/21/2026,4488022,,,26.00,,$51.74
,Cash Sale,7/21/2026,4488026,,,6.00,,$14.94
,Cash Sale,7/21/2026,4488025,,,2.00,,$3.98
,Cash Sale,7/22/2026,4488430,,,7.00,,$17.43
,Cash Sale,7/22/2026,4488434,,,1.00,,$1.99
,Cash Sale,7/22/2026,4488431,,,27.00,,$53.73
,Cash Sale,7/22/2026,4488433,,,3.00,,$7.47
,Cash Sale,7/22/2026,4488432,,,2.00,,$3.98
,Cash Sale,7/23/2026,4488841,,,8.00,,$19.92
,Cash Sale,7/23/2026,4488838,,,6.00,,$14.94
,Cash Sale,7/23/2026,4488836,,,30.00,,$59.70
,Cash Sale,7/23/2026,4488837,,,1.00,,$2.49
,Cash Sale,7/23/2026,4488840,,,1.00,,$1.99
,Cash Sale,7/23/2026,4488839,,,3.00,,$5.97
,Cash Sale,7/24/2026,4489269,,,1.00,,$2.49
,Cash Sale,7/24/2026,4489263,,,26.00,,$51.74
,Cash Sale,7/24/2026,4489265,,,3.00,,$7.47
,Cash Sale,7/24/2026,4489267,,,9.00,,$17.91
,Cash Sale,7/25/2026,4489689,,,6.00,,$14.94
,Cash Sale,7/25/2026,4489688,,,50.00,,$99.50
,Cash Sale,7/25/2026,4489694,,,2.00,,$4.98
,Cash Sale,7/25/2026,4489692,,,1.00,,$2.49
,Cash Sale,7/25/2026,4489690,,,5.00,,$12.45
,Cash Sale,7/26/2026,4490099,,,1.00,,$2.49
,Cash Sale,7/26/2026,4490098,,,4.00,,$9.96
,Cash Sale,7/26/2026,4490097,,,13.00,,$32.37
,Cash Sale,7/26/2026,4490096,,,2.00,,$3.98
,Cash Sale,7/26/2026,4490095,,,51.00,,$101.49
Total - $Egg (KR),,,,,,,,$732.03
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,7/24/2026,4489265,,,2.00,,$7.98
Total - $Extra Shirataki Noodle (KR),,,,,,,,$7.98
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,7/20/2026,4487606,,,1.00,,$2.99
,Cash Sale,7/22/2026,4488430,,,1.00,,$2.99
,Cash Sale,7/22/2026,4488431,,,2.00,,$5.98
,Cash Sale,7/23/2026,4488841,,,1.00,,$2.99
,Cash Sale,7/23/2026,4488836,,,1.00,,$2.99
,Cash Sale,7/25/2026,4489690,,,1.00,,$2.99
,Cash Sale,7/25/2026,4489688,,,2.00,,$5.98
,Cash Sale,7/25/2026,4489692,,,1.00,,$2.99
,Cash Sale,7/26/2026,4490095,,,6.00,,$17.94
Total - $Fried Bean Curb (KR),,,,,,,,$47.84
