Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"June 15, 2026 - June 21, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,6/15/2026,4473041,,,1.00,,$1.99
,Cash Sale,6/18/2026,4474317,,,2.00,,$4.98
,Cash Sale,6/18/2026,4474314,,,2.00,,$3.98
,Cash Sale,6/19/2026,4474745,,,1.00,,$1.99
,Cash Sale,6/20/2026,4475171,,,3.00,,$5.97
,Cash Sale,6/21/2026,4475634,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$20.90
$Beansprouts (KR),,,,,,,,
,Cash Sale,6/15/2026,4473038,,,2.00,,$3.98
,Cash Sale,6/16/2026,4473466,,,1.00,,$1.99
,Cash Sale,6/17/2026,4473891,,,1.00,,$1.99
,Cash Sale,6/20/2026,4475171,,,3.00,,$5.97
,Cash Sale,6/21/2026,4475634,,,2.00,,$3.98
,Cash Sale,6/21/2026,4475636,,,1.00,,$1.99
Total - $Beansprouts (KR),,,,,,,,$19.90
$Beef (KR),,,,,,,,
,Cash Sale,6/15/2026,4473038,,,3.00,,$17.97
,Cash Sale,6/18/2026,4474314,,,1.00,,$5.99
,Cash Sale,6/19/2026,4474745,,,1.00,,$5.99
,Cash Sale,6/19/2026,4474749,,,2.00,,$11.98
,Cash Sale,6/20/2026,4475171,,,1.00,,$5.99
,Cash Sale,6/20/2026,4475175,,,1.00,,$5.99
,Cash Sale,6/21/2026,4475634,,,1.00,,$5.99
,Cash Sale,6/21/2026,4475636,,,1.00,,$5.99
,Cash Sale,6/21/2026,4475639,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$71.88
$Chicken Breast (KR),,,,,,,,
,Cash Sale,6/15/2026,4473043,,,2.00,,$7.98
,Cash Sale,6/16/2026,4473472,,,1.00,,$3.99
,Cash Sale,6/17/2026,4473891,,,2.00,,$7.98
,Cash Sale,6/18/2026,4474314,,,2.00,,$7.98
,Cash Sale,6/19/2026,4474745,,,1.00,,$3.99
,Cash Sale,6/19/2026,4474746,,,1.00,,$3.99
,Cash Sale,6/20/2026,4475175,,,1.00,,$3.99
,Cash Sale,6/21/2026,4475634,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$43.89
$Corn (KR),,,,,,,,
,Cash Sale,6/15/2026,4473039,,,1.00,,$2.49
,Cash Sale,6/15/2026,4473038,,,2.00,,$3.98
,Cash Sale,6/16/2026,4473469,,,1.00,,$1.99
,Cash Sale,6/16/2026,4473472,,,1.00,,$2.49
,Cash Sale,6/17/2026,4473891,,,4.00,,$7.96
,Cash Sale,6/17/2026,4473893,,,1.00,,$2.49
,Cash Sale,6/18/2026,4474314,,,2.00,,$3.98
,Cash Sale,6/19/2026,4474751,,,1.00,,$2.49
,Cash Sale,6/19/2026,4474746,,,2.00,,$4.98
,Cash Sale,6/19/2026,4474745,,,5.00,,$9.95
,Cash Sale,6/20/2026,4475173,,,2.00,,$4.98
,Cash Sale,6/20/2026,4475172,,,2.00,,$4.98
,Cash Sale,6/20/2026,4475171,,,9.00,,$17.91
,Cash Sale,6/21/2026,4475634,,,6.00,,$11.94
,Cash Sale,6/21/2026,4475639,,,3.00,,$7.47
Total - $Corn (KR),,,,,,,,$90.08
$Egg (KR),,,,,,,,
,Cash Sale,6/15/2026,4473040,,,1.00,,$2.49
,Cash Sale,6/15/2026,4473038,,,34.00,,$67.66
,Cash Sale,6/15/2026,4473039,,,1.00,,$2.49
,Cash Sale,6/15/2026,4473043,,,4.00,,$9.96
,Cash Sale,6/15/2026,4473042,,,3.00,,$7.47
,Cash Sale,6/16/2026,4473470,,,3.00,,$7.47
,Cash Sale,6/16/2026,4473472,,,2.00,,$4.98
,Cash Sale,6/16/2026,4473468,,,2.00,,$4.98
,Cash Sale,6/16/2026,4473466,,,30.00,,$59.70
,Cash Sale,6/16/2026,4473473,,,2.00,,$4.98
,Cash Sale,6/16/2026,4473469,,,2.00,,$3.98
,Cash Sale,6/16/2026,4473467,,,3.00,,$7.47
,Cash Sale,6/17/2026,4473891,,,26.00,,$51.74
,Cash Sale,6/17/2026,4473892,,,5.00,,$9.95
,Cash Sale,6/17/2026,4473895,,,2.00,,$4.98
,Cash Sale,6/17/2026,4473893,,,7.00,,$17.43
,Cash Sale,6/18/2026,4474316,,,8.00,,$19.92
,Cash Sale,6/18/2026,4474314,,,35.00,,$69.65
,Cash Sale,6/18/2026,4474317,,,9.00,,$22.41
,Cash Sale,6/19/2026,4474745,,,42.00,,$83.58
,Cash Sale,6/19/2026,4474749,,,2.00,,$3.98
,Cash Sale,6/19/2026,4474752,,,1.00,,$1.99
,Cash Sale,6/19/2026,4474747,,,2.00,,$4.98
,Cash Sale,6/19/2026,4474746,,,9.00,,$22.41
,Cash Sale,6/20/2026,4475173,,,3.00,,$7.47
,Cash Sale,6/20/2026,4475174,,,1.00,,$1.99
,Cash Sale,6/20/2026,4475172,,,12.00,,$29.88
,Cash Sale,6/20/2026,4475171,,,40.00,,$79.60
,Cash Sale,6/21/2026,4475634,,,46.00,,$91.54
,Cash Sale,6/21/2026,4475636,,,3.00,,$5.97
,Cash Sale,6/21/2026,4475639,,,7.00,,$17.43
Total - $Egg (KR),,,,,,,,$730.53
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,6/15/2026,4473038,,,1.00,,$2.99
,Cash Sale,6/17/2026,4473891,,,1.00,,$2.99
,Cash Sale,6/17/2026,4473892,,,1.00,,$2.99
,Cash Sale,6/17/2026,4473897,,,1.00,,$2.99
,Cash Sale,6/18/2026,4474317,,,1.00,,$2.99
,Cash Sale,6/19/2026,4474751,,,1.00,,$2.99
,Cash Sale,6/19/2026,4474745,,,3.00,,$8.97
,Cash Sale,6/20/2026,4475171,,,1.00,,$2.99
,Cash Sale,6/20/2026,4475172,,,1.00,,$2.99
,Cash Sale,6/21/2026,4475634,,,5.00,,$14.95
,Cash Sale,6/21/2026,4475639,,,2.00,,$5.98
Total - $Fried Bean Curb (KR),,,,,,,,$53.82
