Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"July 13, 2026 - July 19, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,7/13/2026,4484711,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$1.00
$1.9 Topping,,,,,,,,
,Cash Sale,7/13/2026,4484711,,,1.00,,$1.99
Total - $1.9 Topping,,,,,,,,$1.99
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,7/13/2026,4484714,,,2.00,,$4.98
,Cash Sale,7/13/2026,4484711,,,1.00,,$1.99
,Cash Sale,7/15/2026,4485518,,,2.00,,$4.98
,Cash Sale,7/16/2026,4485946,,,1.00,,$2.49
,Cash Sale,7/16/2026,4485942,,,1.00,,$1.99
,Cash Sale,7/17/2026,4486358,,,2.00,,$3.98
,Cash Sale,7/18/2026,4486788,,,1.00,,$1.99
,Cash Sale,7/18/2026,4486790,,,1.00,,$2.49
,Cash Sale,7/18/2026,4486789,,,1.00,,$2.49
,Cash Sale,7/19/2026,4487204,,,1.00,,$2.49
,Cash Sale,7/19/2026,4487208,,,1.00,,$2.49
,Cash Sale,7/19/2026,4487205,,,5.00,,$9.95
Total - $Bamboo Shoots (KR),,,,,,,,$42.31
$Beansprouts (KR),,,,,,,,
,Cash Sale,7/13/2026,4484712,,,1.00,,$1.99
,Cash Sale,7/13/2026,4484711,,,3.00,,$5.97
,Cash Sale,7/14/2026,4485111,,,1.00,,$1.99
,Cash Sale,7/15/2026,4485518,,,1.00,,$2.49
,Cash Sale,7/16/2026,4485944,,,1.00,,$2.49
,Cash Sale,7/16/2026,4485942,,,1.00,,$1.99
,Cash Sale,7/18/2026,4486788,,,2.00,,$3.98
,Cash Sale,7/19/2026,4487205,,,4.00,,$7.96
,Cash Sale,7/19/2026,4487208,,,1.00,,$2.49
Total - $Beansprouts (KR),,,,,,,,$31.35
$Beef (KR),,,,,,,,
,Cash Sale,7/13/2026,4484711,,,1.00,,$5.99
,Cash Sale,7/14/2026,4485105,,,1.00,,$5.99
,Cash Sale,7/16/2026,4485945,,,1.00,,$5.99
,Cash Sale,7/16/2026,4485942,,,1.00,,$5.99
,Cash Sale,7/17/2026,4486358,,,2.00,,$11.98
,Cash Sale,7/17/2026,4486361,,,1.00,,$5.99
,Cash Sale,7/18/2026,4486788,,,2.00,,$11.98
,Cash Sale,7/18/2026,4486791,,,1.00,,$5.99
,Cash Sale,7/19/2026,4487205,,,1.00,,$5.99
,Cash Sale,7/19/2026,4487208,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$71.88
$Chicken Breast (KR),,,,,,,,
,Cash Sale,7/13/2026,4484714,,,2.00,,$7.98
,Cash Sale,7/13/2026,4484711,,,3.00,,$11.97
,Cash Sale,7/14/2026,4485106,,,1.00,,$3.99
,Cash Sale,7/14/2026,4485105,,,1.00,,$3.99
,Cash Sale,7/15/2026,4485518,,,1.00,,$3.99
,Cash Sale,7/16/2026,4485942,,,2.00,,$7.98
,Cash Sale,7/17/2026,4486358,,,1.00,,$3.99
,Cash Sale,7/18/2026,4486788,,,1.00,,$3.99
,Cash Sale,7/19/2026,4487204,,,1.00,,$3.99
,Cash Sale,7/19/2026,4487205,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$59.85
$Corn (KR),,,,,,,,
,Cash Sale,7/13/2026,4484713,,,1.00,,$2.49
,Cash Sale,7/13/2026,4484715,,,1.00,,$2.49
,Cash Sale,7/14/2026,4485105,,,4.00,,$7.96
,Cash Sale,7/15/2026,4485516,,,2.00,,$3.98
,Cash Sale,7/15/2026,4485519,,,1.00,,$1.99
,Cash Sale,7/15/2026,4485517,,,2.00,,$4.98
,Cash Sale,7/16/2026,4485946,,,2.00,,$4.98
,Cash Sale,7/16/2026,4485942,,,3.00,,$5.97
,Cash Sale,7/16/2026,4485945,,,1.00,,$1.99
,Cash Sale,7/16/2026,4485944,,,1.00,,$2.49
,Cash Sale,7/17/2026,4486358,,,6.00,,$11.94
,Cash Sale,7/17/2026,4486362,,,1.00,,$2.49
,Cash Sale,7/17/2026,4486359,,,1.00,,$1.99
,Cash Sale,7/18/2026,4486788,,,2.00,,$3.98
,Cash Sale,7/18/2026,4486790,,,1.00,,$2.49
,Cash Sale,7/18/2026,4486787,,,1.00,,$1.99
,Cash Sale,7/19/2026,4487205,,,5.00,,$9.95
,Cash Sale,7/19/2026,4487206,,,2.00,,$4.98
Total - $Corn (KR),,,,,,,,$79.13
$Egg (KR),,,,,,,,
,Cash Sale,7/13/2026,4484713,,,1.00,,$2.49
,Cash Sale,7/13/2026,4484711,,,42.00,,$83.58
,Cash Sale,7/13/2026,4484714,,,15.00,,$37.35
,Cash Sale,7/14/2026,4485106,,,3.00,,$7.47
,Cash Sale,7/14/2026,4485105,,,33.00,,$65.67
,Cash Sale,7/14/2026,4485112,,,1.00,,$2.49
,Cash Sale,7/14/2026,4485111,,,1.00,,$1.99
,Cash Sale,7/14/2026,4485110,,,9.00,,$22.41
,Cash Sale,7/15/2026,4485516,,,25.00,,$49.75
,Cash Sale,7/15/2026,4485519,,,4.00,,$7.96
,Cash Sale,7/15/2026,4485518,,,3.00,,$7.47
,Cash Sale,7/15/2026,4485517,,,6.00,,$14.94
,Cash Sale,7/16/2026,4485946,,,10.00,,$24.90
,Cash Sale,7/16/2026,4485950,,,1.00,,$2.49
,Cash Sale,7/16/2026,4485942,,,37.00,,$73.63
,Cash Sale,7/16/2026,4485948,,,1.00,,$1.99
,Cash Sale,7/16/2026,4485945,,,1.00,,$1.99
,Cash Sale,7/16/2026,4485944,,,6.00,,$14.94
,Cash Sale,7/16/2026,4485943,,,3.00,,$7.47
,Cash Sale,7/17/2026,4486358,,,23.00,,$45.77
,Cash Sale,7/17/2026,4486362,,,6.00,,$14.94
,Cash Sale,7/17/2026,4486361,,,1.00,,$2.49
,Cash Sale,7/17/2026,4486360,,,2.00,,$4.98
,Cash Sale,7/17/2026,4486359,,,6.00,,$11.94
,Cash Sale,7/18/2026,4486788,,,47.00,,$93.53
,Cash Sale,7/18/2026,4486791,,,1.00,,$2.49
,Cash Sale,7/18/2026,4486790,,,3.00,,$7.47
,Cash Sale,7/18/2026,4486787,,,3.00,,$5.97
,Cash Sale,7/18/2026,4486792,,,2.00,,$4.98
,Cash Sale,7/18/2026,4486789,,,13.00,,$32.37
,Cash Sale,7/19/2026,4487204,,,3.00,,$7.47
,Cash Sale,7/19/2026,4487208,,,1.00,,$2.49
,Cash Sale,7/19/2026,4487207,,,3.00,,$5.97
,Cash Sale,7/19/2026,4487206,,,11.00,,$27.39
,Cash Sale,7/19/2026,4487205,,,51.00,,$101.49
Total - $Egg (KR),,,,,,,,$802.72
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,7/13/2026,4484711,,,2.00,,$5.98
,Cash Sale,7/14/2026,4485105,,,1.00,,$2.99
,Cash Sale,7/15/2026,4485518,,,2.00,,$5.98
,Cash Sale,7/16/2026,4485942,,,6.00,,$17.94
,Cash Sale,7/17/2026,4486361,,,1.00,,$2.99
,Cash Sale,7/17/2026,4486362,,,1.00,,$2.99
,Cash Sale,7/18/2026,4486789,,,1.00,,$2.99
Total - $Fried Bean Curb (KR),,,,,,,,$41.86
$Garlic Oil (KR),,,,,,,,
,Cash Sale,7/13/2026,4484714,,,1.00,,$2.49
,Cash Sale,7/14/2026,4485106,,,1.00,,$2.49
,Cash Sale,7/14/2026,4485105,,,2.00,,$3.98
,Cash Sale,7/15/2026,4485516,,,1.00,,$1.99
,Cash Sale,7/16/2026,4485942,,,2.00,,$3.98
,Cash Sale,7/17/2026,4486358,,,1.00,,$1.99
,Cash Sale,7/17/2026,4486362,,,2.00,,$4.98
Total - $Garlic Oil (KR),,,,,,,,$21.90
$Grated Daikon,,,,,,,,
,Cash Sale,7/13/2026,4484711,,,1.00,,$1.00
Total - $Grated Daikon,,,,,,,,$1.00
$Grated Garlic (KR),,,,,,,,
,Cash Sale,7/13/2026,4484711,,,1.00,,$1.99
,Cash Sale,7/14/2026,4485105,,,3.00,,$5.97
,Cash Sale,7/15/2026,4485518,,,2.00,,$4.98
,Cash Sale,7/16/2026,4485942,,,3.00,,$5.97
,Cash Sale,7/17/2026,4486358,,,2.00,,$3.98
,Cash Sale,7/18/2026,4486788,,,1.00,,$1.99
,Cash Sale,7/19/2026,4487205,,,2.00,,$3.98
,Cash Sale,7/19/2026,4487208,,,1.00,,$2.49
Total - $Grated Garlic (KR),,,,,,,,$31.35
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,7/13/2026,4484714,,,4.00,,$11.96
,Cash Sale,7/14/2026,4485109,,,2.00,,$5.98
,Cash Sale,7/14/2026,4485105,,,2.00,,$3.98
,Cash Sale,7/15/2026,4485516,,,1.00,,$1.99
,Cash Sale,7/15/2026,4485519,,,3.00,,$5.97
,Cash Sale,7/15/2026,4485517,,,1.00,,$2.99
,Cash Sale,7/16/2026,4485946,,,3.00,,$8.97
,Cash Sale,7/16/2026,4485942,,,9.00,,$17.91
,Cash Sale,7/17/2026,4486358,,,2.00,,$3.98
,Cash Sale,7/17/2026,4486362,,,1.00,,$2.99
,Cash Sale,7/18/2026,4486788,,,2.00,,$3.98
,Cash Sale,7/18/2026,4486789,,,4.00,,$11.96
Total - $Half Noodle - Thick (KR),,,,,,,,$82.66
$Half Noodle - Thin (KR),,,,,,,,
,Cash Sale,7/13/2026,4484711,,,3.00,,$5.97
,Cash Sale,7/14/2026,4485105,,,4.00,,$7.96
,Cash Sale,7/15/2026,4485517,,,1.00,,$2.99
,Cash Sale,7/16/2026,4485942,,,6.00,,$11.94
,Cash Sale,7/17/2026,4486358,,,8.00,,$15.92
,Cash Sale,7/18/2026,4486788,,,1.00,,$1.99
,Cash Sale,7/18/2026,4486789,,,3.00,,$8.97
,Cash Sale,7/19/2026,4487205,,,7.00,,$13.93
Total - $Half Noodle - Thin (KR),,,,,,,,$69.67
$Jalapeno Paste (KR),,,,,,,,
,Cash Sale,7/13/2026,4484711,,,1.00,,$1.99
,Cash Sale,7/14/2026,4485105,,,1.00,,$1.99
,Cash Sale,7/17/2026,4486358,,,1.00,,$1.99
Total - $Jalapeno Paste (KR),,,,,,,,$5.97
$Nori (KR),,,,,,,,
,Cash Sale,7/13/2026,4484712,,,1.00,,$1.49
,Cash Sale,7/13/2026,4484711,,,2.00,,$2.98
,Cash Sale,7/13/2026,4484714,,,1.00,,$1.99
,Cash Sale,7/16/2026,4485942,,,2.00,,$2.98
,Cash Sale,7/18/2026,4486788,,,2.00,,$2.98
