Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"June 1, 2026 - June 7, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,6/4/2026,4468420,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$1.00
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,1.00,,$1.99
,Cash Sale,6/2/2026,4467585,,,1.00,,$1.99
,Cash Sale,6/3/2026,4468000,,,1.00,,$2.49
,Cash Sale,6/4/2026,4468420,,,1.00,,$1.99
,Cash Sale,6/5/2026,4468853,,,1.00,,$1.99
,Cash Sale,6/6/2026,4469252,,,1.00,,$1.99
,Cash Sale,6/6/2026,4469256,,,1.00,,$2.49
,Cash Sale,6/7/2026,4469664,,,3.00,,$5.97
,Cash Sale,6/7/2026,4469668,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$23.39
$Beansprouts (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,3.00,,$5.97
,Cash Sale,6/1/2026,4467194,,,1.00,,$2.49
,Cash Sale,6/2/2026,4467585,,,2.00,,$3.98
,Cash Sale,6/3/2026,4467996,,,1.00,,$1.99
,Cash Sale,6/3/2026,4468000,,,1.00,,$2.49
,Cash Sale,6/3/2026,4467997,,,1.00,,$1.99
,Cash Sale,6/4/2026,4468420,,,1.00,,$1.99
,Cash Sale,6/5/2026,4468849,,,5.00,,$9.95
,Cash Sale,6/5/2026,4468854,,,2.00,,$3.98
,Cash Sale,6/6/2026,4469252,,,5.00,,$9.95
,Cash Sale,6/7/2026,4469664,,,2.00,,$3.98
,Cash Sale,6/7/2026,4469668,,,1.00,,$2.49
Total - $Beansprouts (KR),,,,,,,,$51.25
$Beef (KR),,,,,,,,
,Cash Sale,6/2/2026,4467585,,,1.00,,$5.99
,Cash Sale,6/3/2026,4467996,,,1.00,,$5.99
,Cash Sale,6/3/2026,4467998,,,1.00,,$5.99
,Cash Sale,6/3/2026,4468000,,,1.00,,$5.99
,Cash Sale,6/5/2026,4468849,,,1.00,,$5.99
,Cash Sale,6/6/2026,4469252,,,1.00,,$5.99
,Cash Sale,6/7/2026,4469669,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$41.93
$Chicken Breast (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,1.00,,$3.99
,Cash Sale,6/2/2026,4467585,,,1.00,,$3.99
,Cash Sale,6/2/2026,4467586,,,1.00,,$3.99
,Cash Sale,6/3/2026,4467996,,,2.00,,$7.98
,Cash Sale,6/3/2026,4468000,,,1.00,,$3.99
,Cash Sale,6/4/2026,4468420,,,2.00,,$7.98
,Cash Sale,6/4/2026,4468424,,,1.00,,$3.99
,Cash Sale,6/5/2026,4468849,,,2.00,,$7.98
,Cash Sale,6/7/2026,4469664,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$51.87
$Corn (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,1.00,,$1.99
,Cash Sale,6/2/2026,4467585,,,2.00,,$3.98
,Cash Sale,6/2/2026,4467587,,,1.00,,$1.99
,Cash Sale,6/2/2026,4467589,,,1.00,,$2.49
,Cash Sale,6/3/2026,4467996,,,4.00,,$7.96
,Cash Sale,6/3/2026,4467997,,,1.00,,$1.99
,Cash Sale,6/4/2026,4468427,,,1.00,,$2.49
,Cash Sale,6/4/2026,4468425,,,1.00,,$1.99
,Cash Sale,6/4/2026,4468420,,,1.00,,$1.99
,Cash Sale,6/5/2026,4468850,,,2.00,,$4.98
,Cash Sale,6/5/2026,4468855,,,2.00,,$4.98
,Cash Sale,6/5/2026,4468849,,,3.00,,$5.97
,Cash Sale,6/5/2026,4468848,,,1.00,,$2.49
,Cash Sale,6/6/2026,4469252,,,1.00,,$1.99
,Cash Sale,6/6/2026,4469256,,,1.00,,$2.49
,Cash Sale,6/7/2026,4469666,,,1.00,,$2.49
,Cash Sale,6/7/2026,4469668,,,2.00,,$4.98
,Cash Sale,6/7/2026,4469664,,,4.00,,$7.96
Total - $Corn (KR),,,,,,,,$65.20
$Egg (KR),,,,,,,,
,Cash Sale,6/1/2026,4467199,,,1.00,,$2.49
,Cash Sale,6/1/2026,4467198,,,2.00,,$3.98
,Cash Sale,6/1/2026,4467196,,,5.00,,$12.45
,Cash Sale,6/1/2026,4467193,,,2.00,,$4.98
,Cash Sale,6/1/2026,4467192,,,30.00,,$59.70
,Cash Sale,6/2/2026,4467585,,,27.00,,$53.73
,Cash Sale,6/2/2026,4467590,,,1.00,,$2.49
,Cash Sale,6/2/2026,4467588,,,1.00,,$2.49
,Cash Sale,6/2/2026,4467586,,,2.00,,$4.98
,Cash Sale,6/3/2026,4467996,,,29.00,,$57.71
,Cash Sale,6/3/2026,4467998,,,2.00,,$4.98
,Cash Sale,6/3/2026,4468000,,,1.00,,$2.49
,Cash Sale,6/3/2026,4467999,,,3.00,,$7.47
,Cash Sale,6/3/2026,4467997,,,3.00,,$5.97
,Cash Sale,6/4/2026,4468427,,,2.00,,$4.98
,Cash Sale,6/4/2026,4468422,,,1.00,,$1.99
,Cash Sale,6/4/2026,4468426,,,1.00,,$2.49
,Cash Sale,6/4/2026,4468424,,,2.00,,$4.98
,Cash Sale,6/4/2026,4468425,,,2.00,,$3.98
,Cash Sale,6/4/2026,4468420,,,44.00,,$87.56
,Cash Sale,6/5/2026,4468850,,,5.00,,$12.45
,Cash Sale,6/5/2026,4468854,,,2.00,,$3.98
,Cash Sale,6/5/2026,4468853,,,1.00,,$1.99
,Cash Sale,6/5/2026,4468852,,,2.00,,$4.98
,Cash Sale,6/5/2026,4468849,,,46.00,,$91.54
,Cash Sale,6/5/2026,4468848,,,2.00,,$4.98
,Cash Sale,6/5/2026,4468856,,,1.00,,$2.49
,Cash Sale,6/6/2026,4469252,,,44.00,,$87.56
,Cash Sale,6/6/2026,4469256,,,8.00,,$19.92
,Cash Sale,6/6/2026,4469254,,,2.00,,$4.98
,Cash Sale,6/7/2026,4469666,,,5.00,,$12.45
,Cash Sale,6/7/2026,4469668,,,11.00,,$27.39
,Cash Sale,6/7/2026,4469665,,,1.00,,$2.49
,Cash Sale,6/7/2026,4469664,,,42.00,,$83.58
,Cash Sale,6/7/2026,4469667,,,2.00,,$3.98
Total - $Egg (KR),,,,,,,,$696.65
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,6/2/2026,4467585,,,2.00,,$5.98
,Cash Sale,6/3/2026,4467999,,,1.00,,$2.99
,Cash Sale,6/4/2026,4468420,,,3.00,,$8.97
,Cash Sale,6/5/2026,4468849,,,2.00,,$5.98
,Cash Sale,6/6/2026,4469253,,,1.00,,$2.99
,Cash Sale,6/6/2026,4469256,,,1.00,,$2.99
,Cash Sale,6/6/2026,4469252,,,3.00,,$8.97
,Cash Sale,6/7/2026,4469664,,,2.00,,$5.98
,Cash Sale,6/7/2026,4469668,,,1.00,,$2.99
Total - $Fried Bean Curb (KR),,,,,,,,$47.84
$Garlic Oil (KR),,,,,,,,
,Cash Sale,6/2/2026,4467590,,,1.00,,$2.49
,Cash Sale,6/4/2026,4468421,,,1.00,,$2.49
,Cash Sale,6/5/2026,4468856,,,1.00,,$2.49
,Cash Sale,6/5/2026,4468849,,,1.00,,$1.99
,Cash Sale,6/6/2026,4469256,,,1.00,,$2.49
,Cash Sale,6/7/2026,4469664,,,1.00,,$1.99
Total - $Garlic Oil (KR),,,,,,,,$13.94
$Grated Garlic (KR),,,,,,,,
,Cash Sale,6/1/2026,4467193,,,1.00,,$2.49
,Cash Sale,6/2/2026,4467585,,,1.00,,$1.99
,Cash Sale,6/3/2026,4467996,,,3.00,,$5.97
,Cash Sale,6/5/2026,4468849,,,2.00,,$3.98
,Cash Sale,6/6/2026,4469252,,,2.00,,$3.98
,Cash Sale,6/7/2026,4469664,,,1.00,,$1.99
Total - $Grated Garlic (KR),,,,,,,,$20.40
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,1.00,,$1.99
,Cash Sale,6/2/2026,4467585,,,2.00,,$3.98
,Cash Sale,6/2/2026,4467587,,,1.00,,$1.99
,Cash Sale,6/2/2026,4467590,,,1.00,,$2.99
,Cash Sale,6/3/2026,4467996,,,2.00,,$3.98
,Cash Sale,6/4/2026,4468422,,,1.00,,$1.99
,Cash Sale,6/5/2026,4468848,,,2.00,,$5.98
,Cash Sale,6/5/2026,4468849,,,2.00,,$3.98
,Cash Sale,6/7/2026,4469664,,,2.00,,$3.98
,Cash Sale,6/7/2026,4469668,,,1.00,,$2.99
Total - $Half Noodle - Thick (KR),,,,,,,,$33.85
$Half Noodle - Thin (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,3.00,,$5.97
,Cash Sale,6/2/2026,4467585,,,2.00,,$3.98
,Cash Sale,6/3/2026,4467996,,,1.00,,$1.99
,Cash Sale,6/3/2026,4467998,,,1.00,,$2.99
,Cash Sale,6/3/2026,4467999,,,1.00,,$2.99
,Cash Sale,6/4/2026,4468420,,,1.00,,$1.99
,Cash Sale,6/4/2026,4468425,,,1.00,,$1.99
,Cash Sale,6/5/2026,4468850,,,2.00,,$5.98
,Cash Sale,6/5/2026,4468856,,,1.00,,$2.99
,Cash Sale,6/6/2026,4469252,,,7.00,,$13.93
,Cash Sale,6/6/2026,4469256,,,1.00,,$2.99
,Cash Sale,6/7/2026,4469664,,,1.00,,$1.99
,Cash Sale,6/7/2026,4469671,,,2.00,,$3.98
,Cash Sale,6/7/2026,4469669,,,1.00,,$2.99
Total - $Half Noodle - Thin (KR),,,,,,,,$56.75
$Jalapeno Paste (KR),,,,,,,,
,Cash Sale,6/5/2026,4468848,,,2.00,,$4.98
,Cash Sale,6/7/2026,4469664,,,1.00,,$1.99
Total - $Jalapeno Paste (KR),,,,,,,,$6.97
$Nori (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,1.00,,$1.49
,Cash Sale,6/2/2026,4467585,,,1.00,,$1.49
,Cash Sale,6/3/2026,4467999,,,1.00,,$1.99
,Cash Sale,6/4/2026,4468420,,,2.00,,$2.98
,Cash Sale,6/5/2026,4468850,,,2.00,,$3.98
,Cash Sale,6/5/2026,4468849,,,1.00,,$1.49
,Cash Sale,6/7/2026,4469664,,,2.00,,$2.98
Total - $Nori (KR),,,,,,,,$16.40
$Pork (KR),,,,,,,,
,Cash Sale,6/1/2026,4467192,,,3.00,,$11.97
,Cash Sale,6/1/2026,4467198,,,2.00,,$7.98
,Cash Sale,6/2/2026,4467585,,,2.00,,$7.98
