Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"June 8, 2026 - June 14, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,6/8/2026,4470089,,,1.00,,$2.49
,Cash Sale,6/8/2026,4470088,,,3.00,,$5.97
,Cash Sale,6/12/2026,4471772,,,1.00,,$1.99
,Cash Sale,6/13/2026,4472194,,,3.00,,$5.97
,Cash Sale,6/14/2026,4472613,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$18.91
$Beansprouts (KR),,,,,,,,
,Cash Sale,6/8/2026,4470091,,,1.00,,$2.49
,Cash Sale,6/8/2026,4470088,,,3.00,,$5.97
,Cash Sale,6/9/2026,4470519,,,1.00,,$2.49
,Cash Sale,6/9/2026,4470511,,,4.00,,$7.96
,Cash Sale,6/10/2026,4470910,,,1.00,,$1.99
,Cash Sale,6/10/2026,4470912,,,1.00,,$2.49
,Cash Sale,6/11/2026,4471349,,,1.00,,$2.49
,Cash Sale,6/12/2026,4471772,,,1.00,,$1.99
,Cash Sale,6/13/2026,4472194,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$31.85
$Beef (KR),,,,,,,,
,Cash Sale,6/8/2026,4470088,,,2.00,,$11.98
,Cash Sale,6/9/2026,4470518,,,1.00,,$5.99
,Cash Sale,6/9/2026,4470517,,,1.00,,$5.99
,Cash Sale,6/9/2026,4470515,,,1.00,,$5.99
,Cash Sale,6/10/2026,4470910,,,2.00,,$11.98
,Cash Sale,6/10/2026,4470911,,,1.00,,$5.99
,Cash Sale,6/11/2026,4471347,,,1.00,,$5.99
,Cash Sale,6/12/2026,4471772,,,1.00,,$5.99
,Cash Sale,6/12/2026,4471775,,,1.00,,$5.99
,Cash Sale,6/12/2026,4471776,,,1.00,,$5.99
,Cash Sale,6/14/2026,4472614,,,1.00,,$5.99
,Cash Sale,6/14/2026,4472613,,,2.00,,$11.98
Total - $Beef (KR),,,,,,,,$89.85
$Chicken Breast (KR),,,,,,,,
,Cash Sale,6/8/2026,4470089,,,1.00,,$3.99
,Cash Sale,6/8/2026,4470088,,,2.00,,$7.98
,Cash Sale,6/9/2026,4470515,,,1.00,,$3.99
,Cash Sale,6/9/2026,4470511,,,4.00,,$15.96
,Cash Sale,6/10/2026,4470910,,,3.00,,$11.97
,Cash Sale,6/11/2026,4471347,,,1.00,,$3.99
,Cash Sale,6/12/2026,4471773,,,1.00,,$3.99
,Cash Sale,6/12/2026,4471776,,,1.00,,$3.99
,Cash Sale,6/13/2026,4472194,,,2.00,,$7.98
,Cash Sale,6/13/2026,4472199,,,1.00,,$3.99
,Cash Sale,6/14/2026,4472614,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$71.82
$Corn (KR),,,,,,,,
,Cash Sale,6/8/2026,4470089,,,1.00,,$2.49
,Cash Sale,6/8/2026,4470088,,,4.00,,$7.96
,Cash Sale,6/9/2026,4470515,,,3.00,,$7.47
,Cash Sale,6/9/2026,4470511,,,5.00,,$9.95
,Cash Sale,6/9/2026,4470517,,,1.00,,$2.49
,Cash Sale,6/9/2026,4470516,,,1.00,,$1.99
,Cash Sale,6/10/2026,4470910,,,3.00,,$5.97
,Cash Sale,6/11/2026,4471347,,,5.00,,$9.95
,Cash Sale,6/12/2026,4471772,,,5.00,,$9.95
,Cash Sale,6/12/2026,4471776,,,1.00,,$2.49
,Cash Sale,6/13/2026,4472195,,,1.00,,$1.99
,Cash Sale,6/13/2026,4472194,,,1.00,,$1.99
,Cash Sale,6/14/2026,4472614,,,6.00,,$11.94
,Cash Sale,6/14/2026,4472620,,,1.00,,$2.49
Total - $Corn (KR),,,,,,,,$79.12
$Egg (KR),,,,,,,,
,Cash Sale,6/8/2026,4470090,,,3.00,,$5.97
,Cash Sale,6/8/2026,4470088,,,36.00,,$71.64
,Cash Sale,6/8/2026,4470089,,,5.00,,$12.45
,Cash Sale,6/8/2026,4470093,,,3.00,,$5.97
,Cash Sale,6/8/2026,4470091,,,3.00,,$7.47
,Cash Sale,6/9/2026,4470518,,,2.00,,$3.98
,Cash Sale,6/9/2026,4470513,,,4.00,,$9.96
,Cash Sale,6/9/2026,4470511,,,32.00,,$63.68
,Cash Sale,6/9/2026,4470517,,,1.00,,$2.49
,Cash Sale,6/9/2026,4470515,,,4.00,,$9.96
,Cash Sale,6/9/2026,4470514,,,1.00,,$1.99
,Cash Sale,6/9/2026,4470512,,,2.00,,$4.98
,Cash Sale,6/9/2026,4470519,,,1.00,,$2.49
,Cash Sale,6/10/2026,4470910,,,32.00,,$63.68
,Cash Sale,6/10/2026,4470915,,,2.00,,$3.98
,Cash Sale,6/10/2026,4470912,,,6.00,,$14.94
,Cash Sale,6/10/2026,4470911,,,2.00,,$4.98
,Cash Sale,6/11/2026,4471350,,,2.00,,$4.98
,Cash Sale,6/11/2026,4471354,,,2.00,,$4.98
,Cash Sale,6/11/2026,4471352,,,1.00,,$1.99
,Cash Sale,6/11/2026,4471349,,,1.00,,$2.49
,Cash Sale,6/11/2026,4471348,,,3.00,,$5.97
,Cash Sale,6/11/2026,4471347,,,17.00,,$33.83
,Cash Sale,6/12/2026,4471772,,,35.00,,$69.65
,Cash Sale,6/12/2026,4471775,,,5.00,,$12.45
,Cash Sale,6/12/2026,4471774,,,1.00,,$2.49
,Cash Sale,6/12/2026,4471776,,,3.00,,$7.47
,Cash Sale,6/12/2026,4471777,,,2.00,,$4.98
,Cash Sale,6/12/2026,4471773,,,1.00,,$1.99
,Cash Sale,6/13/2026,4472197,,,6.00,,$14.94
,Cash Sale,6/13/2026,4472200,,,1.00,,$2.49
,Cash Sale,6/13/2026,4472199,,,2.00,,$4.98
,Cash Sale,6/13/2026,4472194,,,25.00,,$49.75
,Cash Sale,6/14/2026,4472614,,,34.00,,$67.66
,Cash Sale,6/14/2026,4472620,,,1.00,,$2.49
,Cash Sale,6/14/2026,4472615,,,1.00,,$1.99
,Cash Sale,6/14/2026,4472613,,,5.00,,$12.45
