Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"March 23, 2026 - March 29, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,3/24/2026,4438961,,,1.00,,$1.99
,Cash Sale,3/25/2026,4439368,,,2.00,,$3.98
,Cash Sale,3/26/2026,4439780,,,1.00,,$1.99
,Cash Sale,3/26/2026,4439781,,,1.00,,$2.49
,Cash Sale,3/27/2026,4440194,,,3.00,,$5.97
,Cash Sale,3/27/2026,4440196,,,3.00,,$7.47
,Cash Sale,3/28/2026,4440614,,,1.00,,$2.49
,Cash Sale,3/28/2026,4440618,,,1.00,,$1.99
,Cash Sale,3/28/2026,4440615,,,1.00,,$1.99
,Cash Sale,3/29/2026,4441037,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$32.35
$Beansprouts (KR),,,,,,,,
,Cash Sale,3/23/2026,4438567,,,3.00,,$5.97
,Cash Sale,3/23/2026,4438570,,,1.00,,$2.49
,Cash Sale,3/24/2026,4438961,,,2.00,,$3.98
,Cash Sale,3/24/2026,4438964,,,1.00,,$1.99
,Cash Sale,3/25/2026,4439368,,,5.00,,$9.95
,Cash Sale,3/26/2026,4439780,,,3.00,,$5.97
,Cash Sale,3/26/2026,4439781,,,1.00,,$2.49
,Cash Sale,3/27/2026,4440194,,,1.00,,$1.99
,Cash Sale,3/27/2026,4440196,,,2.00,,$4.98
,Cash Sale,3/28/2026,4440615,,,1.00,,$1.99
,Cash Sale,3/29/2026,4441037,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$45.78
$Beef (KR),,,,,,,,
,Cash Sale,3/23/2026,4438566,,,5.00,,$29.95
,Cash Sale,3/23/2026,4438567,,,2.00,,$11.98
,Cash Sale,3/24/2026,4438961,,,1.00,,$5.99
,Cash Sale,3/24/2026,4438962,,,5.00,,$29.95
,Cash Sale,3/25/2026,4439368,,,4.00,,$23.96
,Cash Sale,3/25/2026,4439367,,,5.00,,$29.95
,Cash Sale,3/26/2026,4439780,,,2.00,,$11.98
,Cash Sale,3/26/2026,4439784,,,1.00,,$5.99
,Cash Sale,3/26/2026,4439781,,,1.00,,$5.99
,Cash Sale,3/27/2026,4440198,,,1.00,,$5.99
,Cash Sale,3/27/2026,4440194,,,1.00,,$5.99
,Cash Sale,3/28/2026,4440615,,,3.00,,$17.97
,Cash Sale,3/29/2026,4441042,,,1.00,,$5.99
,Cash Sale,3/29/2026,4441037,,,7.00,,$41.93
Total - $Beef (KR),,,,,,,,$233.61
$Chicken Breast (KR),,,,,,,,
,Cash Sale,3/23/2026,4438567,,,1.00,,$3.99
,Cash Sale,3/24/2026,4438967,,,2.00,,$7.98
,Cash Sale,3/24/2026,4438961,,,1.00,,$3.99
,Cash Sale,3/25/2026,4439368,,,2.00,,$7.98
,Cash Sale,3/26/2026,4439783,,,1.00,,$3.99
,Cash Sale,3/27/2026,4440196,,,1.00,,$3.99
,Cash Sale,3/28/2026,4440615,,,3.00,,$11.97
,Cash Sale,3/28/2026,4440618,,,2.00,,$7.98
,Cash Sale,3/29/2026,4441036,,,1.00,,$3.99
,Cash Sale,3/29/2026,4441043,,,1.00,,$3.99
,Cash Sale,3/29/2026,4441038,,,4.00,,$15.96
,Cash Sale,3/29/2026,4441037,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$83.79
$Corn (KR),,,,,,,,
,Cash Sale,3/23/2026,4438567,,,3.00,,$5.97
,Cash Sale,3/23/2026,4438570,,,3.00,,$7.47
,Cash Sale,3/24/2026,4438961,,,2.00,,$3.98
,Cash Sale,3/24/2026,4438964,,,1.00,,$1.99
,Cash Sale,3/24/2026,4438962,,,1.00,,$2.49
,Cash Sale,3/25/2026,4439368,,,4.00,,$7.96
,Cash Sale,3/26/2026,4439780,,,8.00,,$15.92
,Cash Sale,3/26/2026,4439785,,,1.00,,$1.99
,Cash Sale,3/26/2026,4439781,,,1.00,,$2.49
,Cash Sale,3/27/2026,4440194,,,6.00,,$11.94
,Cash Sale,3/28/2026,4440615,,,8.00,,$15.92
,Cash Sale,3/28/2026,4440617,,,2.00,,$4.98
,Cash Sale,3/29/2026,4441041,,,1.00,,$1.99
,Cash Sale,3/29/2026,4441038,,,1.00,,$2.49
,Cash Sale,3/29/2026,4441037,,,6.00,,$11.94
Total - $Corn (KR),,,,,,,,$99.52
$Egg (KR),,,,,,,,
,Cash Sale,3/23/2026,4438566,,,4.00,,$9.96
,Cash Sale,3/23/2026,4438573,,,1.00,,$2.49
,Cash Sale,3/23/2026,4438571,,,1.00,,$1.99
,Cash Sale,3/23/2026,4438570,,,6.00,,$14.94
,Cash Sale,3/23/2026,4438568,,,1.00,,$1.99
,Cash Sale,3/23/2026,4438567,,,36.00,,$71.64
,Cash Sale,3/24/2026,4438966,,,2.00,,$4.98
,Cash Sale,3/24/2026,4438965,,,1.00,,$2.49
,Cash Sale,3/24/2026,4438964,,,1.00,,$1.99
,Cash Sale,3/24/2026,4438962,,,3.00,,$7.47
,Cash Sale,3/24/2026,4438961,,,20.00,,$39.80
,Cash Sale,3/24/2026,4438967,,,6.00,,$14.94
,Cash Sale,3/25/2026,4439369,,,4.00,,$9.96
,Cash Sale,3/25/2026,4439367,,,2.00,,$4.98
,Cash Sale,3/25/2026,4439368,,,39.00,,$77.61
,Cash Sale,3/25/2026,4439370,,,1.00,,$1.99
,Cash Sale,3/26/2026,4439780,,,60.00,,$119.40
,Cash Sale,3/26/2026,4439783,,,4.00,,$9.96
,Cash Sale,3/26/2026,4439781,,,9.00,,$22.41
,Cash Sale,3/27/2026,4440198,,,2.00,,$3.98
,Cash Sale,3/27/2026,4440199,,,1.00,,$1.99
,Cash Sale,3/27/2026,4440196,,,10.00,,$24.90
,Cash Sale,3/27/2026,4440194,,,36.00,,$71.64
,Cash Sale,3/28/2026,4440614,,,3.00,,$7.47
,Cash Sale,3/28/2026,4440619,,,4.00,,$7.96
,Cash Sale,3/28/2026,4440618,,,2.00,,$3.98
