Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"April 6, 2026 - April 12, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,4/6/2026,4444250,,,1.00,,$1.99
,Cash Sale,4/6/2026,4444251,,,1.00,,$2.49
,Cash Sale,4/8/2026,4445039,,,2.00,,$3.98
,Cash Sale,4/9/2026,4445427,,,5.00,,$9.95
,Cash Sale,4/10/2026,4445827,,,2.00,,$3.98
,Cash Sale,4/11/2026,4446249,,,2.00,,$3.98
,Cash Sale,4/12/2026,4446659,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$28.36
$Beansprouts (KR),,,,,,,,
,Cash Sale,4/6/2026,4444250,,,2.00,,$3.98
,Cash Sale,4/7/2026,4444639,,,2.00,,$3.98
,Cash Sale,4/8/2026,4445039,,,3.00,,$5.97
,Cash Sale,4/8/2026,4445041,,,2.00,,$4.98
,Cash Sale,4/9/2026,4445427,,,6.00,,$11.94
,Cash Sale,4/10/2026,4445827,,,1.00,,$1.99
,Cash Sale,4/10/2026,4445833,,,1.00,,$1.99
,Cash Sale,4/10/2026,4445831,,,1.00,,$2.49
,Cash Sale,4/11/2026,4446249,,,4.00,,$7.96
,Cash Sale,4/12/2026,4446662,,,1.00,,$2.49
Total - $Beansprouts (KR),,,,,,,,$47.77
$Beef (KR),,,,,,,,
,Cash Sale,4/6/2026,4444250,,,1.00,,$5.99
,Cash Sale,4/6/2026,4444251,,,2.00,,$11.98
,Cash Sale,4/7/2026,4444639,,,3.00,,$17.97
,Cash Sale,4/8/2026,4445039,,,1.00,,$5.99
,Cash Sale,4/8/2026,4445043,,,1.00,,$5.99
,Cash Sale,4/9/2026,4445430,,,1.00,,$5.99
,Cash Sale,4/9/2026,4445429,,,1.00,,$5.99
,Cash Sale,4/9/2026,4445427,,,1.00,,$5.99
,Cash Sale,4/10/2026,4445827,,,2.00,,$11.98
Total - $Beef (KR),,,,,,,,$77.87
$Chicken Breast (KR),,,,,,,,
,Cash Sale,4/6/2026,4444250,,,2.00,,$7.98
,Cash Sale,4/6/2026,4444251,,,1.00,,$3.99
,Cash Sale,4/7/2026,4444639,,,1.00,,$3.99
,Cash Sale,4/8/2026,4445039,,,2.00,,$7.98
,Cash Sale,4/8/2026,4445044,,,1.00,,$3.99
,Cash Sale,4/9/2026,4445430,,,1.00,,$3.99
,Cash Sale,4/9/2026,4445431,,,1.00,,$3.99
,Cash Sale,4/9/2026,4445427,,,1.00,,$3.99
,Cash Sale,4/10/2026,4445829,,,1.00,,$3.99
,Cash Sale,4/10/2026,4445833,,,1.00,,$3.99
,Cash Sale,4/12/2026,4446661,,,1.00,,$3.99
,Cash Sale,4/12/2026,4446662,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$55.86
$Corn (KR),,,,,,,,
,Cash Sale,4/6/2026,4444250,,,3.00,,$5.97
,Cash Sale,4/7/2026,4444639,,,6.00,,$11.94
,Cash Sale,4/7/2026,4444640,,,1.00,,$2.49
,Cash Sale,4/8/2026,4445039,,,4.00,,$7.96
,Cash Sale,4/8/2026,4445041,,,3.00,,$7.47
,Cash Sale,4/9/2026,4445430,,,1.00,,$2.49
,Cash Sale,4/9/2026,4445427,,,6.00,,$11.94
,Cash Sale,4/10/2026,4445827,,,4.00,,$7.96
,Cash Sale,4/10/2026,4445833,,,1.00,,$1.99
,Cash Sale,4/10/2026,4445828,,,2.00,,$3.98
,Cash Sale,4/11/2026,4446249,,,5.00,,$9.95
,Cash Sale,4/12/2026,4446659,,,4.00,,$7.96
,Cash Sale,4/12/2026,4446662,,,2.00,,$4.98
,Cash Sale,4/12/2026,4446664,,,1.00,,$2.49
Total - $Corn (KR),,,,,,,,$89.57
$Egg (KR),,,,,,,,
,Cash Sale,4/6/2026,4444253,,,1.00,,$2.49
,Cash Sale,4/6/2026,4444251,,,13.00,,$32.37
,Cash Sale,4/6/2026,4444250,,,39.00,,$77.61
,Cash Sale,4/7/2026,4444639,,,34.00,,$67.66
,Cash Sale,4/7/2026,4444642,,,2.00,,$4.98
,Cash Sale,4/7/2026,4444641,,,1.00,,$1.99
,Cash Sale,4/7/2026,4444640,,,9.00,,$22.41
,Cash Sale,4/8/2026,4445039,,,33.00,,$65.67
,Cash Sale,4/8/2026,4445042,,,1.00,,$2.49
,Cash Sale,4/8/2026,4445041,,,5.00,,$12.45
,Cash Sale,4/8/2026,4445040,,,2.00,,$3.98
,Cash Sale,4/9/2026,4445430,,,8.00,,$19.92
,Cash Sale,4/9/2026,4445428,,,1.00,,$2.49
,Cash Sale,4/9/2026,4445431,,,1.00,,$2.49
,Cash Sale,4/9/2026,4445429,,,3.00,,$5.97
,Cash Sale,4/9/2026,4445427,,,48.00,,$95.52
,Cash Sale,4/10/2026,4445827,,,41.00,,$81.59
,Cash Sale,4/10/2026,4445833,,,2.00,,$3.98
,Cash Sale,4/10/2026,4445831,,,2.00,,$4.98
,Cash Sale,4/10/2026,4445830,,,1.00,,$2.49
,Cash Sale,4/10/2026,4445829,,,4.00,,$9.96
,Cash Sale,4/10/2026,4445828,,,1.00,,$1.99
,Cash Sale,4/11/2026,4446250,,,2.00,,$3.98
,Cash Sale,4/11/2026,4446249,,,120.00,,$238.80
,Cash Sale,4/12/2026,4446666,,,1.00,,$2.49
,Cash Sale,4/12/2026,4446662,,,10.00,,$24.90
,Cash Sale,4/12/2026,4446663,,,1.00,,$2.49
,Cash Sale,4/12/2026,4446661,,,1.00,,$1.99
,Cash Sale,4/12/2026,4446660,,,3.00,,$7.47
,Cash Sale,4/12/2026,4446659,,,27.00,,$53.73
Total - $Egg (KR),,,,,,,,$861.33
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,4/8/2026,4445042,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$3.99
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,4/6/2026,4444250,,,2.00,,$5.98
,Cash Sale,4/6/2026,4444251,,,1.00,,$2.99
