Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"May 18, 2026 - May 24, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,5/19/2026,4461875,,,3.00,,$5.97
,Cash Sale,5/20/2026,4462255,,,1.00,,$1.99
,Cash Sale,5/21/2026,4462670,,,4.00,,$9.96
,Cash Sale,5/21/2026,4462669,,,2.00,,$3.98
,Cash Sale,5/22/2026,4463078,,,1.00,,$1.99
,Cash Sale,5/23/2026,4463509,,,4.00,,$7.96
,Cash Sale,5/23/2026,4463517,,,1.00,,$2.49
,Cash Sale,5/24/2026,4463944,,,1.00,,$1.99
,Cash Sale,5/24/2026,4463945,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$38.82
$Beansprouts (KR),,,,,,,,
,Cash Sale,5/18/2026,4461488,,,1.00,,$2.49
,Cash Sale,5/19/2026,4461875,,,1.00,,$1.99
,Cash Sale,5/20/2026,4462251,,,1.00,,$1.99
,Cash Sale,5/20/2026,4462252,,,1.00,,$2.49
,Cash Sale,5/21/2026,4462670,,,1.00,,$2.49
,Cash Sale,5/23/2026,4463509,,,1.00,,$1.99
,Cash Sale,5/23/2026,4463512,,,1.00,,$2.49
,Cash Sale,5/24/2026,4463944,,,3.00,,$5.97
Total - $Beansprouts (KR),,,,,,,,$21.90
$Beef (KR),,,,,,,,
,Cash Sale,5/18/2026,4461487,,,1.00,,$5.99
,Cash Sale,5/18/2026,4461489,,,1.00,,$5.99
,Cash Sale,5/18/2026,4461488,,,2.00,,$11.98
,Cash Sale,5/19/2026,4461875,,,4.00,,$23.96
,Cash Sale,5/20/2026,4462251,,,1.00,,$5.99
,Cash Sale,5/20/2026,4462255,,,1.00,,$5.99
,Cash Sale,5/21/2026,4462670,,,1.00,,$5.99
,Cash Sale,5/21/2026,4462669,,,3.00,,$17.97
,Cash Sale,5/22/2026,4463079,,,1.00,,$5.99
,Cash Sale,5/23/2026,4463509,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$95.84
$Chicken Breast (KR),,,,,,,,
,Cash Sale,5/18/2026,4461489,,,1.00,,$3.99
,Cash Sale,5/19/2026,4461877,,,1.00,,$3.99
,Cash Sale,5/20/2026,4462251,,,2.00,,$7.98
,Cash Sale,5/21/2026,4462669,,,1.00,,$3.99
,Cash Sale,5/22/2026,4463078,,,2.00,,$7.98
,Cash Sale,5/22/2026,4463082,,,1.00,,$3.99
,Cash Sale,5/24/2026,4463945,,,3.00,,$11.97
Total - $Chicken Breast (KR),,,,,,,,$43.89
$Corn (KR),,,,,,,,
,Cash Sale,5/18/2026,4461487,,,1.00,,$2.49
,Cash Sale,5/18/2026,4461489,,,3.00,,$5.97
,Cash Sale,5/19/2026,4461877,,,2.00,,$4.98
,Cash Sale,5/19/2026,4461875,,,3.00,,$5.97
,Cash Sale,5/19/2026,4461879,,,1.00,,$1.99
,Cash Sale,5/20/2026,4462251,,,4.00,,$7.96
,Cash Sale,5/20/2026,4462252,,,1.00,,$2.49
,Cash Sale,5/21/2026,4462673,,,2.00,,$3.98
,Cash Sale,5/22/2026,4463078,,,2.00,,$3.98
,Cash Sale,5/23/2026,4463509,,,5.00,,$9.95
,Cash Sale,5/23/2026,4463512,,,1.00,,$2.49
,Cash Sale,5/24/2026,4463944,,,4.00,,$7.96
Total - $Corn (KR),,,,,,,,$60.21
$Egg (KR),,,,,,,,
,Cash Sale,5/18/2026,4461495,,,1.00,,$2.49
,Cash Sale,5/18/2026,4461489,,,16.00,,$31.84
,Cash Sale,5/18/2026,4461488,,,9.00,,$22.41
,Cash Sale,5/18/2026,4461487,,,3.00,,$7.47
,Cash Sale,5/18/2026,4461490,,,1.00,,$1.99
,Cash Sale,5/19/2026,4461883,,,1.00,,$1.99
,Cash Sale,5/19/2026,4461875,,,70.00,,$139.30
,Cash Sale,5/19/2026,4461881,,,2.00,,$4.98
,Cash Sale,5/19/2026,4461876,,,1.00,,$2.49
,Cash Sale,5/19/2026,4461879,,,1.00,,$1.99
,Cash Sale,5/19/2026,4461878,,,4.00,,$9.96
,Cash Sale,5/19/2026,4461877,,,4.00,,$9.96
,Cash Sale,5/20/2026,4462251,,,35.00,,$69.65
,Cash Sale,5/20/2026,4462255,,,1.00,,$1.99
,Cash Sale,5/20/2026,4462254,,,1.00,,$2.49
,Cash Sale,5/20/2026,4462253,,,3.00,,$7.47
,Cash Sale,5/20/2026,4462252,,,2.00,,$4.98
,Cash Sale,5/21/2026,4462671,,,1.00,,$1.99
,Cash Sale,5/21/2026,4462669,,,17.00,,$33.83
,Cash Sale,5/21/2026,4462670,,,12.00,,$29.88
,Cash Sale,5/21/2026,4462673,,,1.00,,$1.99
,Cash Sale,5/21/2026,4462672,,,1.00,,$2.49
,Cash Sale,5/22/2026,4463079,,,8.00,,$19.92
,Cash Sale,5/22/2026,4463080,,,2.00,,$3.98
,Cash Sale,5/22/2026,4463078,,,33.00,,$65.67
,Cash Sale,5/23/2026,4463514,,,1.00,,$2.49
,Cash Sale,5/23/2026,4463515,,,1.00,,$1.99
,Cash Sale,5/23/2026,4463517,,,1.00,,$2.49
,Cash Sale,5/23/2026,4463516,,,1.00,,$2.49
,Cash Sale,5/23/2026,4463512,,,5.00,,$12.45
,Cash Sale,5/23/2026,4463511,,,1.00,,$2.49
,Cash Sale,5/23/2026,4463510,,,2.00,,$4.98
,Cash Sale,5/23/2026,4463509,,,38.00,,$75.62
,Cash Sale,5/24/2026,4463947,,,1.00,,$1.99
,Cash Sale,5/24/2026,4463951,,,2.00,,$4.98
,Cash Sale,5/24/2026,4463946,,,1.00,,$2.49
,Cash Sale,5/24/2026,4463945,,,15.00,,$37.35
,Cash Sale,5/24/2026,4463944,,,52.00,,$103.48
Total - $Egg (KR),,,,,,,,$738.49
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,5/21/2026,4462670,,,1.00,,$5.99
,Cash Sale,5/23/2026,4463509,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$9.98
