Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"April 20, 2026 - April 26, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,4/20/2026,4449942,,,1.00,,$2.49
,Cash Sale,4/20/2026,4449937,,,1.00,,$1.99
,Cash Sale,4/21/2026,4450336,,,1.00,,$1.99
,Cash Sale,4/22/2026,4450748,,,1.00,,$1.99
,Cash Sale,4/23/2026,4451168,,,1.00,,$1.99
,Cash Sale,4/24/2026,4451568,,,1.00,,$1.99
,Cash Sale,4/24/2026,4451571,,,1.00,,$2.49
,Cash Sale,4/25/2026,4451989,,,1.00,,$2.49
,Cash Sale,4/26/2026,4452412,,,1.00,,$2.49
,Cash Sale,4/26/2026,4452414,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$21.90
$Beansprouts (KR),,,,,,,,
,Cash Sale,4/20/2026,4449937,,,1.00,,$1.99
,Cash Sale,4/20/2026,4449940,,,1.00,,$2.49
,Cash Sale,4/21/2026,4450336,,,2.00,,$3.98
,Cash Sale,4/22/2026,4450748,,,1.00,,$1.99
,Cash Sale,4/22/2026,4450750,,,1.00,,$2.49
,Cash Sale,4/23/2026,4451168,,,6.00,,$11.94
,Cash Sale,4/24/2026,4451568,,,5.00,,$9.95
,Cash Sale,4/24/2026,4451571,,,1.00,,$2.49
,Cash Sale,4/25/2026,4451989,,,1.00,,$2.49
,Cash Sale,4/25/2026,4451991,,,2.00,,$3.98
,Cash Sale,4/26/2026,4452412,,,1.00,,$2.49
,Cash Sale,4/26/2026,4452414,,,1.00,,$1.99
Total - $Beansprouts (KR),,,,,,,,$48.27
$Beef (KR),,,,,,,,
,Cash Sale,4/20/2026,4449937,,,3.00,,$17.97
,Cash Sale,4/20/2026,4449940,,,1.00,,$5.99
,Cash Sale,4/22/2026,4450748,,,1.00,,$5.99
,Cash Sale,4/22/2026,4450752,,,1.00,,$5.99
,Cash Sale,4/23/2026,4451168,,,4.00,,$23.96
,Cash Sale,4/23/2026,4451173,,,1.00,,$5.99
,Cash Sale,4/24/2026,4451569,,,1.00,,$5.99
,Cash Sale,4/24/2026,4451568,,,1.00,,$5.99
,Cash Sale,4/24/2026,4451570,,,1.00,,$5.99
,Cash Sale,4/25/2026,4451988,,,2.00,,$11.98
,Cash Sale,4/25/2026,4451992,,,1.00,,$5.99
,Cash Sale,4/26/2026,4452412,,,1.00,,$5.99
,Cash Sale,4/26/2026,4452414,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$113.81
$Chicken Breast (KR),,,,,,,,
,Cash Sale,4/20/2026,4449937,,,1.00,,$3.99
,Cash Sale,4/20/2026,4449940,,,1.00,,$3.99
,Cash Sale,4/21/2026,4450336,,,1.00,,$3.99
,Cash Sale,4/22/2026,4450748,,,1.00,,$3.99
,Cash Sale,4/22/2026,4450750,,,1.00,,$3.99
,Cash Sale,4/23/2026,4451168,,,1.00,,$3.99
,Cash Sale,4/24/2026,4451570,,,1.00,,$3.99
,Cash Sale,4/24/2026,4451568,,,1.00,,$3.99
,Cash Sale,4/26/2026,4452413,,,1.00,,$3.99
,Cash Sale,4/26/2026,4452414,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$43.89
$Corn (KR),,,,,,,,
,Cash Sale,4/20/2026,4449937,,,3.00,,$5.97
,Cash Sale,4/20/2026,4449939,,,1.00,,$1.99
,Cash Sale,4/21/2026,4450336,,,2.00,,$3.98
,Cash Sale,4/21/2026,4450341,,,1.00,,$2.49
,Cash Sale,4/21/2026,4450338,,,1.00,,$1.99
,Cash Sale,4/22/2026,4450748,,,4.00,,$7.96
,Cash Sale,4/22/2026,4450753,,,1.00,,$2.49
,Cash Sale,4/22/2026,4450750,,,2.00,,$4.98
,Cash Sale,4/23/2026,4451167,,,3.00,,$7.47
,Cash Sale,4/23/2026,4451170,,,1.00,,$2.49
,Cash Sale,4/23/2026,4451168,,,3.00,,$5.97
,Cash Sale,4/24/2026,4451568,,,4.00,,$7.96
,Cash Sale,4/24/2026,4451571,,,2.00,,$4.98
,Cash Sale,4/25/2026,4451989,,,2.00,,$4.98
,Cash Sale,4/25/2026,4451990,,,1.00,,$1.99
,Cash Sale,4/25/2026,4451988,,,2.00,,$3.98
,Cash Sale,4/26/2026,4452412,,,2.00,,$4.98
,Cash Sale,4/26/2026,4452414,,,5.00,,$9.95
Total - $Corn (KR),,,,,,,,$86.60
$Egg (KR),,,,,,,,
,Cash Sale,4/20/2026,4449937,,,42.00,,$83.58
,Cash Sale,4/20/2026,4449940,,,6.00,,$14.94
,Cash Sale,4/21/2026,4450336,,,25.00,,$49.75
,Cash Sale,4/21/2026,4450339,,,4.00,,$9.96
,Cash Sale,4/22/2026,4450748,,,32.00,,$63.68
,Cash Sale,4/22/2026,4450753,,,1.00,,$2.49
,Cash Sale,4/22/2026,4450750,,,2.00,,$4.98
,Cash Sale,4/22/2026,4450747,,,1.00,,$1.99
,Cash Sale,4/22/2026,4450752,,,3.00,,$7.47
,Cash Sale,4/23/2026,4451167,,,1.00,,$2.49
,Cash Sale,4/23/2026,4451171,,,1.00,,$2.49
,Cash Sale,4/23/2026,4451175,,,1.00,,$2.49
,Cash Sale,4/23/2026,4451173,,,3.00,,$7.47
,Cash Sale,4/23/2026,4451169,,,2.00,,$3.98
,Cash Sale,4/23/2026,4451170,,,6.00,,$14.94
,Cash Sale,4/23/2026,4451168,,,35.00,,$69.65
,Cash Sale,4/24/2026,4451570,,,2.00,,$4.98
,Cash Sale,4/24/2026,4451572,,,3.00,,$7.47
,Cash Sale,4/24/2026,4451571,,,14.00,,$34.86
,Cash Sale,4/24/2026,4451568,,,40.00,,$79.60
,Cash Sale,4/25/2026,4451989,,,1.00,,$2.49
,Cash Sale,4/25/2026,4451992,,,4.00,,$9.96
,Cash Sale,4/25/2026,4451990,,,5.00,,$9.95
,Cash Sale,4/25/2026,4451988,,,31.00,,$61.69
,Cash Sale,4/26/2026,4452416,,,1.00,,$1.99
