Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"February 16, 2026 - February 22, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,2/16/2026,4423527,,,1.00,,$2.49
,Cash Sale,2/16/2026,4423526,,,2.00,,$3.98
,Cash Sale,2/16/2026,4423531,,,1.00,,$2.49
,Cash Sale,2/17/2026,4423906,,,1.00,,$1.99
,Cash Sale,2/18/2026,4424282,,,1.00,,$1.99
,Cash Sale,2/22/2026,4425940,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$14.93
$Beansprouts (KR),,,,,,,,
,Cash Sale,2/16/2026,4423528,,,1.00,,$2.49
,Cash Sale,2/16/2026,4423526,,,1.00,,$1.99
,Cash Sale,2/17/2026,4423906,,,1.00,,$1.99
,Cash Sale,2/18/2026,4424282,,,1.00,,$1.99
,Cash Sale,2/19/2026,4424683,,,2.00,,$3.98
,Cash Sale,2/20/2026,4425100,,,3.00,,$5.97
,Cash Sale,2/21/2026,4425521,,,3.00,,$5.97
,Cash Sale,2/22/2026,4425940,,,2.00,,$3.98
,Cash Sale,2/22/2026,4425941,,,1.00,,$1.99
Total - $Beansprouts (KR),,,,,,,,$30.35
$Beef (KR),,,,,,,,
,Cash Sale,2/16/2026,4423526,,,1.00,,$5.99
,Cash Sale,2/18/2026,4424282,,,2.00,,$11.98
,Cash Sale,2/20/2026,4425100,,,1.00,,$5.99
,Cash Sale,2/21/2026,4425521,,,3.00,,$17.97
,Cash Sale,2/22/2026,4425941,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$47.92
$Chicken Breast (KR),,,,,,,,
,Cash Sale,2/16/2026,4423527,,,6.00,,$23.94
,Cash Sale,2/17/2026,4423906,,,2.00,,$7.98
,Cash Sale,2/18/2026,4424282,,,1.00,,$3.99
,Cash Sale,2/18/2026,4424281,,,1.00,,$3.99
,Cash Sale,2/19/2026,4424683,,,2.00,,$7.98
,Cash Sale,2/19/2026,4424685,,,1.00,,$3.99
,Cash Sale,2/20/2026,4425100,,,5.00,,$19.95
,Cash Sale,2/20/2026,4425104,,,2.00,,$7.98
,Cash Sale,2/21/2026,4425521,,,2.00,,$7.98
,Cash Sale,2/22/2026,4425943,,,2.00,,$7.98
,Cash Sale,2/22/2026,4425942,,,4.00,,$15.96
,Cash Sale,2/22/2026,4425941,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$115.71
$Corn (KR),,,,,,,,
,Cash Sale,2/16/2026,4423526,,,4.00,,$7.96
,Cash Sale,2/16/2026,4423532,,,1.00,,$1.99
,Cash Sale,2/16/2026,4423533,,,1.00,,$1.99
,Cash Sale,2/17/2026,4423906,,,1.00,,$1.99
,Cash Sale,2/18/2026,4424282,,,3.00,,$5.97
,Cash Sale,2/19/2026,4424684,,,4.00,,$9.96
,Cash Sale,2/19/2026,4424683,,,2.00,,$3.98
,Cash Sale,2/20/2026,4425100,,,3.00,,$5.97
,Cash Sale,2/21/2026,4425523,,,2.00,,$4.98
,Cash Sale,2/21/2026,4425521,,,9.00,,$17.91
,Cash Sale,2/22/2026,4425943,,,1.00,,$2.49
,Cash Sale,2/22/2026,4425940,,,1.00,,$1.99
,Cash Sale,2/22/2026,4425939,,,1.00,,$1.99
Total - $Corn (KR),,,,,,,,$69.17
$Egg (KR),,,,,,,,
,Cash Sale,2/16/2026,4423530,,,2.00,,$4.98
,Cash Sale,2/16/2026,4423532,,,3.00,,$5.97
,Cash Sale,2/16/2026,4423533,,,1.00,,$1.99
,Cash Sale,2/16/2026,4423526,,,47.00,,$93.53
,Cash Sale,2/16/2026,4423528,,,1.00,,$2.49
,Cash Sale,2/16/2026,4423527,,,12.00,,$29.88
,Cash Sale,2/17/2026,4423906,,,35.00,,$69.65
,Cash Sale,2/17/2026,4423909,,,1.00,,$2.49
,Cash Sale,2/17/2026,4423907,,,1.00,,$2.49
,Cash Sale,2/17/2026,4423911,,,2.00,,$4.98
,Cash Sale,2/17/2026,4423908,,,15.00,,$37.35
,Cash Sale,2/18/2026,4424287,,,1.00,,$1.99
,Cash Sale,2/18/2026,4424288,,,1.00,,$2.49
,Cash Sale,2/18/2026,4424281,,,3.00,,$7.47
,Cash Sale,2/18/2026,4424284,,,2.00,,$4.98
,Cash Sale,2/18/2026,4424282,,,52.00,,$103.48
,Cash Sale,2/18/2026,4424285,,,1.00,,$1.99
,Cash Sale,2/19/2026,4424684,,,5.00,,$12.45
,Cash Sale,2/19/2026,4424688,,,8.00,,$19.92
,Cash Sale,2/19/2026,4424687,,,2.00,,$4.98
,Cash Sale,2/19/2026,4424686,,,1.00,,$2.49
,Cash Sale,2/19/2026,4424683,,,37.00,,$73.63
,Cash Sale,2/20/2026,4425101,,,10.00,,$24.90
,Cash Sale,2/20/2026,4425104,,,2.00,,$4.98
,Cash Sale,2/20/2026,4425103,,,3.00,,$7.47
,Cash Sale,2/20/2026,4425102,,,1.00,,$1.99
,Cash Sale,2/20/2026,4425100,,,40.00,,$79.60
,Cash Sale,2/21/2026,4425523,,,7.00,,$17.43
,Cash Sale,2/21/2026,4425525,,,6.00,,$14.94
,Cash Sale,2/21/2026,4425528,,,3.00,,$5.97
,Cash Sale,2/21/2026,4425527,,,3.00,,$5.97
,Cash Sale,2/21/2026,4425522,,,21.00,,$52.29
,Cash Sale,2/21/2026,4425521,,,55.00,,$109.45
,Cash Sale,2/22/2026,4425943,,,6.00,,$14.94
,Cash Sale,2/22/2026,4425942,,,20.00,,$49.80
,Cash Sale,2/22/2026,4425940,,,38.00,,$75.62
,Cash Sale,2/22/2026,4425945,,,2.00,,$4.98
Total - $Egg (KR),,,,,,,,$962.00
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,2/16/2026,4423527,,,1.00,,$2.99
,Cash Sale,2/16/2026,4423526,,,2.00,,$5.98
,Cash Sale,2/17/2026,4423906,,,1.00,,$2.99
,Cash Sale,2/18/2026,4424281,,,1.00,,$2.99
,Cash Sale,2/19/2026,4424683,,,2.00,,$5.98
